--->ALEKSOTO seniūnija,,,,,,,,
Licencijos,,,Licencijos turėtojo rekvizitai,,Prekybos vietos,,"Licencijos galiojimas 
sustabdytas",
Nr.,išdavimo data,"galiojimo data
(n - neterminuota)",pavadinimas,kodas,pavadinimas ir adresas,"miesto 
dalis",nuo,iki
222,1/1/1999,n,UAB „Rica“,3320891,"parduotuvė, Veiverių g. 94",Aleksotas,,
510,1/6/1999,n,J. Gališanskienės įmonė „Teksta“,3344523,"parduotuvė, Veiverių g. 105-1",Birutė,,
177/4,10/4/2000,n,UAB „Dola“,3352202,"parduotuvė, Vinčų g. 20",Freda,,
681/1,9/1/2002,n,UAB „Grūdelis“,3505857,"valgykla, H. ir O. Minkovskių g. 63",Freda,,
1373,11/12/2003,n,UAB „Tikslinga kryptis“,3603484,kioskas prie pastato S. Dariaus ir S. Girėno g. 39,Aleksotas,,
1276,11/20/2002,n,UAB „Įpiltis“,5982091,"parduotuvė, Pagirėnų g. 2",Kazliškiai,,
1397,2/12/2004,n,Virmantės Bašinskienės įmonė,6028747,"kioskas, Veiverių g. 47B",Aleksotas,,
1206/9,5/29/2003,n,UAB „Palink“,110193723,"parduotuvė, Veiverių g. 150",Kazliškiai,,
1378/6,12/7/2005,n,UAB „Impress teva“,110803767,"parduotuvė, Veiverių g. 150B, Kaunas",Kazliškiai,,
1168/7,1/9/2006,n,UAB „Baltic Petroleum“,111703588,"degalinė, H. ir O. Minkovskių g. 132, Kaunas",Freda,,
1879/2,12/27/2016,n,UAB „Lidl Lietuva“,111791015,"parduotuvė, Veiverių g. 146, Kaunas",Kazliškiai,,
1565/8,6/12/2017,n,UAB „Gelsva“,120596772,"parduotuvė „VYNOTEKA“, Europos pr. 43, Kaunas",Freda,,
1661/1,6/23/2016,n,Uždaroji akcinė bendrovė „VILOKTA“,122889941,"kavinė, Europos pr. 43, Kaunas",Freda,,
1121/1,6/20/2016,n,Uždaroji akcinė bendrovė „PLAUNU PATS“,122906942,"parduotuvė, Veiverių g. 132D, Kaunas",Aleksotas,,
889/18,12/2/2005,n,"MAXIMA LT, UAB",123033512,"parduotuvė, Veiverių g. 150B, Kaunas",Kazliškiai,,
1485/40,1/9/2006,n,UAB „Lietuvos spaudos“ Vilniaus agentūra,123640551,"kioskas, Veiverių g. 150B, Kaunas",Kazliškiai,,
1485/50,3/5/2015,n,UAB „Reitan Convenience Lithuania“,123640551,"parduotuvė, Veiverių g. 132D, Kaunas",Kazliškiai,,
777/19,2/6/2015,n,Uždaroji akcinė bendrovė „RIMI LIETUVA“,123715317,"parduotuvė, Europos pr. 43, Kaunas",Freda,,
1099/5,11/30/2005,n,UAB „Delano“,125542554,"picerija, Veiverių g. 150B, Kaunas",Kazliškiai,,
1583,2/13/2007,n,Uždaroji akcinė bendrovė „Važiuoklė“,132042873,"parduotuvė, Sąnašos g. 5, Kaunas",Birutė,,
387,1/1/1999,n,UAB „Milė“ ,132990262,"kioskas, Veiverių g. 102",Aleksotas,,
451/9,12/1/2000,n,UAB „Samsonas“,133140587,"parduotuvė, Seniavos pl. 36",Birutė,,
79/1,1/9/2002,n,UAB „Regata“,133298466,"parduotuvė, Veiverių g. 184",Kazliškiai,,
91/15,3/27/2014,n,Uždaroji akcinė bendrovė „Eiginta“,133437510,"parduotuvė, Kalvarijos g. 34, Kaunas",Kazliškiai,,
91/17,12/14/2015,n,Uždaroji akcinė bendrovė „Eiginta“,133437510,"parduotuvė, Seniavos pl. 36, Kaunas",Birutė,,
91/18,6/12/2017,n,Uždaroji akcinė bendrovė „Eiginta“,133437510,"prekybos centras „ŠILAS“, K. Sprangausko g. 1A, Kaunas",Kazliškiai,,
93/1,1/9/2002,n,UAB „Tukas“,133443417,"parduotuvė, Veiverių g. 25",Aleksotas,,
330,1/1/1999,n,UAB „Turistas“,133501767,"baras, Europos pr. 99",Freda,,
22,1/1/1999,n,UAB „Mažasis grūdelis“,133536871,"baras, Veiverių g. 47",Aleksotas,,
1439/3,2/20/2008,n,UAB „Hungerdina“,133564664,"degalinė, Marvelės g. 106D, Kaunas",Marvelė,,
34,1/1/1999,n,V. Andriūno parduotuvė „Aisidija“,133646385,"baras, S. Dariaus ir S. Girėno g. 17",Aleksotas,,
622/4,11/5/2011,n,Uždaroji akcinė bendrovė „Lifrana“,133723020,"parduotuvė, Vinčų g. 20, Kaunas",Freda,,
334/1,6/18/2012,n,Uždaroji akcinė bendrovė „Švaistūnas“,133724460,"parduotuvė, Veiverių g. 27, Kaunas",Aleksotas,,
12/1,1/1/2002,n,P. Ragucko įmonė,134068895,"parduotuvė, Sniegenų g. 17",Birutė,,
104/1,1/1/1999,n,G. Lisausko firma „Eolita“,134215473,"parduotuvė, Tyrulių g. 1A",Birutė,,
104/2,5/15/2002,n,G. Lisausko firma „Eolita“,134215473,"kavinė-baras, Tyrulių g. 1A",Birutė,,
269,1/1/1999,n,UAB „Vaivija“,134302750,"baras, Europos pr. 79",Freda,,
1043,4/19/2001,n,UAB „Folaris“,134365277,"baras, Veiverių g. 63",Birutė,,
421/3,5/4/2005,n,A. Stepanavičiaus individuali įmonė,134446462,"parduotuvė, S. Dariaus ir S. Girėno g. 82 / Planetų g. 2, Kaunas",Aleksotas,,
837,2/29/2000,n,E. Vilimienės firma,134526175,"kioskas, Veiverių g. 47, KSĮ „Aleksoto turgavietė“ prekyvietėje",Aleksotas,,
1473,1/25/2005,n,UAB „Deguva“,134737329,"degalinė, Veiverių g. 148, Kaunas",Kazliškiai,,
1732,3/29/2011,n,Lietuvos ir Airijos uždaroji akcinė bendrovė „ABROMIKA“,134775568,"degalinė, Marvelės g. 132, Kaunas",Marvelė,,
673,4/7/1999,n,UAB „Jorega“,134862083,"baras, Veiverių g. 47B",Aleksotas,,
1199/2,6/30/2006,n,N. Buinauskienės įmonė,134901013,"paviljone prie pastato Jiesios pl. 83A, Kaune",Birutė,,
449/2,8/24/2010,n,Uždaroji akcinė bendrovė „Prie dvaro“,134995532,"parduotuvė, S. Dariaus ir S. Girėno g. 82 / Planetų g. 2, Kaunas",Aleksotas,,
379/1,6/2/1999,n,G. Muzikevičiaus firma ,135199933,"parduotuvė, Marvelės g. 115",Marvelė,,
379/6,1/9/2006,n,G. Muzikevičiaus firma,135199933,"baras, Veiverių g. 63, Kaunas",Birutė,,
379/8,5/22/2009,n,G. Muzikevičiaus firma,135199933,"kavinė, Veiverių g. 47L, Kaunas",Aleksotas,,
814/1,1/1/2000,n,UAB „Kauno spauda“,135520314,kioskas prie namo Veiverių g. 57,Freda,,
814/58,1/1/2000,n,UAB „Kauno spauda“,135520314,kioskas tarp namų Veiverių g. 25 ir 27,Aleksotas,,
911/1,5/22/2002,n,UAB „Gilvira“,135642478,paviljonas prie namo Jiesios pl. 83A,Birutė,,
1589,3/29/2007,n,Uždaroji akcinė bendrovė „Tutrix“,135648926,"restoranas (1B4b), Veiverių g. 134, Kaunas",Kazliškiai,,
1346/3,8/1/2006,n,Uždaroji akcinė bendrovė „Vakoil“,135818983,"kavinė, degalinė, Armoniškių g. 31, Kaunas",Kazliškiai,,
1200,3/13/2002,n,Dinos Veikelienės firma,135836287,"parduotuvė, Veiverių g. 118",Aleksotas,,
1251,8/2/2002,n,UAB „Dalmana“,135849886,"restoranas, Veiverių g. 150",Kazliškiai,,
1373/1,10/14/2004,n,UAB „Tikslinga kryptis“,136034849,"parduotuvė, S. Dariaus ir S. Girėno g. 39 / Erdvės g. 2, Kaunas",Aleksotas,,
1792/2,4/16/2013,n,UAB „SKULAS“,145316477,"degalinė, Marvelės g. 106D, Kaunas",Marvelė,,
1396/3,5/16/2008,n,Aliaus Riškevičiaus prekybos įmonė,151307760,"kioskas, Veiverių g. 47B, Kaunas",Aleksotas,,
1353,9/10/2003,n,UAB „Kaišiadorių paukštyno mažmena“,158986919,"parduotuvė, Veiverių g. 51",Freda,,
1290/2,2/27/2006,n,UAB „Kas“,159577131,"parduotuvė, Europos pr. 64, Kaunas",Freda,,
1290/3,11/28/2006,n,Uždaroji akcinė bendrovė „KAS“,159577131,"parduotuvė, Senosios Obels g. 1, Kaunas",Kazliškiai,,
902,7/19/2000,n,UAB „Pas Smailį“,159702542,"parduotuvė, Tirkiliškių g. 49",Kazliškiai,,
842/4,10/22/2002,n,UAB „Giluva“,159740062,"parduotuvė, Europos pr. 71",Freda,,
1366,10/20/2003,n,UAB „Du skorpionai“,159952656,"parduotuvė, Senosios Obels g. 1",Kazliškiai,,
750,7/28/1999,n,UAB „Baltasis Linaris“,159996581,"parduotuvė, Marvelės g. 90",Marvelė,,
1654,4/10/2009,n,UAB „ILREGITA“,160428490,"kavinė, Armoniškių g. 31, Kaunas",Kazliškiai,,
1608,11/29/2007,n,Uždaroji akcinė bendrovė „MAKVEŽA“,161621777,"parduotuvė, Veiverių g. 51C, Kaunas",Freda,,
381/1,1/1/1999,n,AB „Ventus-nafta“,166920025,"degalinės parduotuvė, Veiverių g. 148B",Kazliškiai,,
1850/7,5/22/2015,n,UAB „Viada LT“,178715423,"degalinė, Veiverių g. 117, Kaunas",Birutė,,
1850/14,11/10/2016,n,UAB „Viada LT“,178715423,"degalinė, Veiverių g. 124B, Kaunas",Aleksotas,,
1834/1,5/13/2014,n,Uždaroji akcinė bendrovė „Alauša“,183615620,"degalinė, Armoniškių g. 31, Kaunas",Kazliškiai,,
37/4,1/1/1999,n,"Circle K Lietuva, UAB",211454910,"parduotuvė, Veiverių pl. 49A",Aleksotas,,
1106/8,9/15/2015,n,Uždaroji akcinė bendrovė „Kesko Senukai Lithuania“,234376520,"parduotuvė, Veiverių g. 148, Kaunas",Kazliškiai,,
131/14,11/29/2000,n,UAB „Kilminė“,234835240,"parduotuvė, Veiverių g. 112",Aleksotas,,
1180,1/9/2002,n,UAB „Einoronė“,235843090,"valgykla-baras, H. ir O. Minkovskių g. 98",Aleksotas,,
1394/2,6/9/2004,n,UAB „Lupra“,245608240,"parduotuvė, Veiverių g. 55, Kaunas",Freda,,
1054/2,11/20/2002,n,UAB „Adebroja“,259757340,"parduotuvė, Piliakalnio g. 6-7",Freda,,
1678,10/28/2009,n,UAB „Akvabalt“,300090292,"baras, Europos pr. 85, Kaunas",Freda,,
1723,1/28/2011,n,UAB „INERO“,301166729,"kavinė, Veiverių g. 36, Kaunas",Aleksotas,,
1663,6/15/2009,n,UAB „SĖKLŲ VERSMĖ“,302305288,"parduotuvė, Kalvarijos g. 38, Kaunas",Kazliškiai,,
1700,5/27/2010,n,UAB „Picos visiems“,302506273,"kavinė, Europos pr. 85, Kaunas",Freda,,
1803,6/13/2013,n,UAB FRESH MARKET,302976885,"parduotuvė, Europos pr. 32, Kaunas",Freda,,
1803/3,2/5/2014,n,UAB FRESH MARKET,302976885,"parduotuvė, Seniavos pl. 36, Kaunas",Birutė,,