Eil. Nr.,"Leidimo rūšis:
1 - verstis mažmenine prekyba nefasuotais naftos produktais, 
2 - verstis didmenine prekyba nefasuotais naftos produktais, 
3 - verstis didmenine prekyba nefasuotais naftos produktais, kurie tiekiami kaip kuro atsargos laivams, 
4 - verstis didmenine prekyba nefasuotais naftos produktais, kurie tiekiami kaip kuro atsargos orlaiviams",Leid. Nr.,Leidimas išduotas," 


Leidimo turėtojo rekvizitai:",,,"


Leidimo verstis mažmenine prekyba degalinės adresas",,"


Leidžiama prekiauti šiais nefasuotais naftos produktais:",,,,,,,,,Leidimo,,,,
,,,,juridinio asmens pavadinimas arba fizinio asmens vardas ir pavardė,juridinio asmens kodas,juridinio asmens buveinės adresas ,adreso miesto dalis,adresas,aviacinis benzinas,"variklių benzinas, kurio oktaninis skaičius mažesnis kaip 95","variklių benzinas, kurio oktaninis skaičius ne mažesnis 95, bet mažesnis kaip 98","variklių benzinas, kurio oktaninis kaičius ne mažesnis kaip 98",Reaktyviniai degalai,"gazoliai - dyzeliniai degalai, šildymui skirti gazoliai, kiti gazoliai",skystasis kuras,"suskystintos dujos, skirtos autotransporto priemonėms",biodyzelinas,patikslinimo datos,papildymo datos,galiojimo sustabdymo data (laikotarpis),galiojimo sustabdymo panaikinimo data,galiojimo panaikinimo data (skelbiama 6 mėnesius)
1,1,27,2001 06 18,A. Kondratavičiaus firma „Tormenta“,132848925,"Kaunas, Chemijos g. 7-41",Vilijampolė,prie Linkuvos ir A. Stulginskio gatvių sankryžos,,1,1,,,1,,,,"2003 03 03, 2005 11 18",2005 11 18,,,
2,1,40,2002 01 01,AB „Suskystintos dujos“,1085689,"Vilnius, Smolensko g. 1",Naujasodis,Ateities pl. 45A,,,,,,,,1,,2003 03 10,,,,
3,1,19,2001 05 04,AB „Ventus-nafta“,166920025,"Vilnius, J. Jasinskio g. 16B",Dainava,Pramonės pr. 37,,1,1,1,,1,,1,1,"2003 03 10, 2004 12 10, 2006 04 14","2003 03 10, 2004 12 10, 2005 03 18",,,
4,1,19/1,2001 06 22,AB „Ventus-nafta“,166920025,"Vilnius, J. Jasinskio g. 16B",Kazliškiai,Veiverių g. 148B,,1,1,1,,1,,1,,"2003 03 10, 2004 12 10, 2006 04 14",2005 04 08,,,
5,2,75,2013 10 24,Akcinė bendrovė „Kauno tiltai“,133729589,"Kauno m. sav., Kauno m., Ateities pl. 46",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams ,,,,,,1,,,,,,,,
6,1,19/2,2006 06 30,Akcinė bendrovė „Ventus-Nafta“,166920025,"Vilnius, J. Jasinskio g. 16B",Vilijampolė,"Varnių g. 50, Kaunas",,1,1,1,,1,,1,1,,,,,
7,4,9849 O,2002 07 16,"Bendra Lietuvos, Suomijos ir JAV įmonė uždaroji akcinė bendrovė „BALTIJOS NAFTA“",110394530,"Kauno m. sav., Kauno m., J. Kumpio g. 7-1",PREKYBA VISOJE LIETUVOJE,"Viešoji įstaiga „S. Dariaus ir S. Girėno aerodromas“ (įmonės kodas 135087311), Veiverių g. 132, Kaunas, talpykla Nr. 191083001; UAB „Ašva“ (įmonės kodas 2198041), Paluknio aerodromas, Paluknio sen., Trakų r., talpykla Nr. 790090001.",1,,1,1,1,,,,,,2018 03 27,,,
8,2,9616 D,2001 03 26,"Bendra Lietuvos, Suomijos ir JAV įmonė uždaroji akcinė bendrovė „BALTIJOS NAFTA“",110394530,"Kauno m. sav., Kauno m., J. Kumpio g. 7-1",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,1,1,1,1,1,1,,1,,,,2018 04 19 - 2018 04 26,,2018 04 30
9,1,8,2001 03 11,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Gričiupis,Taikos pr. 52A,,1,1,1,,1,,,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
10,1,8/1,2001 03 11,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Dainava,Savanorių pr. 402A,,1,1,1,,1,,1,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",2002 09 18,,,
11,1,8/2,2001 03 28,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Veršvai,Raudondvario pl. 107A,,1,1,1,,1,,1,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",2002 03 07,,,
12,1,8/3,2001 03 28,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Naujasodis,Pramonės pr. 18,,1,1,1,,1,,1,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
13,1,8/4,2001 04 18,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Eiguliai,Savanorių pr. 321,,1,1,1,,1,,,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
14,1,8/5,2001 04 23,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Smėliai,Žemaičių pl. 19,,1,1,1,,1,,1,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",2002 04 15,,,
15,1,8/7,2001 06 22,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Vilijampolė,Varnių g. 46,,1,1,,,1,,,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
16,1,8/8,2001 06 02,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Petrašiūnai,R. Kalantos g. 68,,1,1,,,1,,,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
17,1,8/9,2001 07 02,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Aleksotas,Veiverių g. 49A,,1,1,1,,1,,,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
18,1,8/11,2001 11 25,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Naujamiestis,Karaliaus Mindaugo pr. 34A,,1,1,1,,1,,,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
19,1,8/12,2003 04 22,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Senamiestis,Jonavos g. 38,,1,1,1,,1,,1,,"2004 02 06, 2004 11 19, 2013 01 07, 2014 11 25, 2016 04 20",2003 07 11,,,
20,1,8/13,2003 04 22,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Dainava,Savanorių pr. 404B,,1,1,1,,1,,1,,"2003 09 19, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",2003 07 11,,,
21,1,8/14,2003 04 22,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Eiguliai,Sukilėlių pr. 120,,1,1,1,,1,,1,,"2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",2003 07 11,,,
22,1,8/15,2003 04 22,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Kalniečiai,Tvirtovės al. 33A,,1,1,1,,1,,,,"2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
23,1,8/16,2003 04 22,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Gričiupis,K. Baršausko g. 57,,1,1,1,,1,,1,,"2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",2003 07 11,,,
24,1,8/17,2003 09 26,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Kleboniškis,Briedžių takas 6B,,1,1,1,,1,,1,,"2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
25,1,8/18,2005 12 02,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Eiguliai,"Islandijos pl. 32, Kaunas",,,1,,,1,,1,1,"2013 01 07, 2016 04 20",,,,
26,1,8/19,2009 05 22,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Sargėnai,"Vakarinis aplinkkelis 10, Kaunas",,1,1,1,,1,,1,1,"2013 01 07, 2016 04 20",,,,
27,1,8/20,2012 02 27,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Eiguliai,"Islandijos pl. 61C, Kaunas",,,1,1,,1,,,1,"2013 01 07, 2016 04 20",,,,
28,1,8/21,2017 09 12,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Petrašiūnai,"R. Kalantos g. 159, Kaunas",,,1,1,,1,,1,,,,,,
29,1,67,2011 04 05,Lietuvos ir Airijos uždaroji akcinė bendrovė „ABROMIKA“,134775568,"Kaunas, Kęstučio g. 38",Marvelė,"Marvelės g. 132, Kaunas",,1,1,1,,1,,1,,,,,,
30,1,43,2002 01 31,Nijolės Žaltauskienės įmonė „Punia“,159515674,"Kauno r., Rokų sen., Pavytės k. ",Rokai,Marijampolės pl. 20,,1,1,1,,1,,1,,"2003 03 26, 2005 03 14",,,,
31,2,82,2014 06 05,UAB „Agrosfera“,302348275,"Kauno m. sav., Kauno m., Jonavos g. 204A",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,1,,,,1,,,,,,2018 04 19 - 2018 04 26,,2018 04 30
32,2,86,2014 12 18,UAB „Atopa“,303464375,"Kauno m. sav., Kauno m., Partizanų g. 61-806",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,1,1,1,1,1,1,,1,1,,,2018 02 20 - 2018 03 19,,2018 03 22
33,1,36/9,2015 03 20,UAB „BALTIC PETROLEUM“,111703588,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Vilijampolė,"Raudondvario pl. 82, Kaunas",,1,1,1,,1,,1,1,,,,,
34,1,36/1,2001 10 12,UAB „Baltic Petroleum“ ,111703588,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Žaliakalnis,Jonavos g. 60A,,1,1,1,,1,,1,,"2003 02 27, 2004 12 17, 2007 03 02, 2011 11 25",2005 01 28,,,
35,1,36/2,2001 10 12,UAB „Baltic Petroleum“ ,111703588,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Panemunė,Vaidoto g. 153,,1,1,1,,1,,1,,"2003 02 27, 2004 12 17, 2007 03 02, 2011 12 12","2005 12 30, 2010 10 14",,,
36,1,36/3,2002 11 29,UAB „Baltic Petroleum“ ,111703588,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Amaliai,Chemijos g. 6,,1,1,1,,1,,1,,"2003 02 27, 2004 12 17, 2007 11 09, 2011 11 29","2007 11 09, 2010 10 14",,,
37,1,36/4,2003 07 11,UAB „Baltic Petroleum“ ,111703588,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Naujasodis,Taikos pr. 120,,1,1,,,1,,1,,"2004 12 17, 2007 11 23, 2011 11 29",,,,
38,1,36/5,2003 07 11,UAB „Baltic Petroleum“ ,111703588,"Vilnius, Aguonų g. 24",Milikoniai,Kuršių g. 13,,1,1,,,1,,,,2004 12 17,,,,
39,1,36/6,2003 07 11,UAB „Baltic Petroleum“ ,111703588,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Freda,H. ir O. Minkovskių g. 132,,1,1,1,,1,,1,,"2004 12 17, 2007 02 09, 2011 12 12","2004 07 23, 2004 11 05",,,
40,1,36/8,2007 12 14,UAB „BALTIC PETROLEUM“ ,111703588,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Smėliai,"Baltijos g. 90B, Kaunas",,1,1,1,,1,,1,,2011 11 25,2010 10 14,,,
41,1,57,2005 05 02,UAB „Čia“,300052637,"Vilnius, Kalvarijų g. 125-818",Aleksotas,"Veiverių g. 132D, Kaunas",,,,,,,,1,,,,,,
42,1,29/1,2001 07 12,UAB „Deguva“,134737329,"Kaunas, Puodžių g. 12-2",Lampėdžiai,Raudondvario pl. 234,,,,,,,,1,,"2003 02 27, 2004 11 19",,,,
43,1,3/1,2003 02 14,UAB „Dujovita“,135604958,"Kaunas, A. Mapu g. 3-7",Žaliakalnis,Jonavos g. 110,,,,,,,,1,,"2003 03 03, 2005 03 25",,,,
44,2,27-10034 D,2009 03 23,UAB „Ekoil“,301541022,"Kauno m. sav., Kauno m., S. Žukausko g. 35-29",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,,,,,,,1,,,,,,2018 01 10
45,2,97,2015 12 21,UAB „Emuna“,303318705,"Kauno m. sav., Kauno m., J. Žemgulio g. 10-16A",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,1,1,1,1,1,1,,1,1,,,2018 04 19 - 2018 04 26,,2018 04 30
46,2,103,2016 06 13,UAB „Energijos kodas“,302414693,"Kauno m. sav., Kauno m., Jurbarko g. 2",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,,,,,1,,,,,,,,
47,2,78,2014 04 15,UAB „Euronafta“,303266500,"Kauno m. sav., Kauno m., Skirmanto g. 21-12",PREKYBA VISOJE LIETUVOJE,"Pramonės g. 38, Jonava",,,,,,1,,,,,,2018 04 19 - 2018 04 26,,2018 04 30
48,2,96,2015 11 18,UAB „Gamtana“,302708339,"Kauno m. sav., Kauno m., Draugystės g. 17-1",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,1,1,1,,1,,,1,,,2018 04 19 - 2018 04 26,,2018 04 30
49,1,102,2016 05 25,UAB „Gyteksa“,304234904,"Kauno m. sav., Kauno m., Partizanų g. 61-806",Milikoniai,"Kuršių g. 1, Kaunas",,,,,,,,1,,,,,,
50,2,83,2014 10 08,UAB „Kifato Baltic“,302453956,"Kauno m. sav., Kauno m., Lygybės g. 21-86",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,,,,,1,,,,,,2018 04 19 - 2018 04 26,,2018 04 30
51,1,38,2001 12 07,UAB „Lanx“,134604631,"Kaunas, Partizanų g. 87G",Naujasodis,Partizanų g. 87G,,1,1,1,,1,,1,,"2003 03 03, 2003 09 19, 2004 11 19",2010 05 13,,,
52,1,9550 S,2001 01 31,UAB „Lanx“,134604631,"Kaunas, Partizanų g. 87G",Smėliai,Baltų pr. 141A,,,1,1,,1,,1,,"2003 03 03, 2003 09 19, 2004 11 19",2010 05 13,,,
53,2,69,2012 03 15,UAB „LATERA LT“,302700926,"Kauno m. sav., Kauno m., Taikos pr. 88A",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,1,1,1,,1,,,1,,2012 11 28,2018 04 19 - 2018 04 26,,2018 04 30
54,2,91,2015 05 04,UAB „Lietuviškų degalinių tinklas“,135995859,"Kauno m. sav., Kauno m., Savanorių pr. 315",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,1,1,1,,1,,,1,,,,,
55,2,93,2015 06 30,UAB „Lileda“,304033132,"Kauno m. sav., Kauno m., Islandijos pl. 95-57",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,,,,,1,,,,,,2018 02 20 - 2018 03 19,,2018 04 27
56,2,77,2013 11 12,UAB „Lino Taparausko firma“,234951750,"Kauno m. sav., Kauno m., Viešios g. 27",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams ,1,1,1,1,,1,,1,1,2017 02 06,,2018 04 19 - 2018 04 26,,2018 04 30
57,2,27-10060 D,2010 05 24,UAB „Naftoil“,302499811,"Kauno m. sav., Kauno m., Gedimino g. 33-13",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,1,1,1,1,1,1,,1,1,,,2018 04 19 - 2018 04 26,,2018 04 30
58,1,2,2001 02 15,UAB „Neste Lietuva“,211472890,"Vilnius, P. Lukšio g. 32 / J. Kubiliaus g. 12",Petrašiūnai,R. Kalantos g. 27,,1,1,1,,1,,,,"2003 03 03, 2004 12 17",2008 02 15,,,
59,1,2/1,2001 04 20,UAB „Neste Lietuva“,211472890,"Vilnius, P. Lukšio g. 32 / J. Kubiliaus g. 12",Aleksotas,Veiverių g. 132D,,1,1,1,,1,,,,"2003 03 03, 2004 12 17",2008 02 15,,,
60,1,2/2,2001 05 18,UAB „Neste Lietuva“,211472890,"Vilnius, P. Lukšio g. 32 / J. Kubiliaus g. 12",Naujasodis,Pramonės pr. 6A,,1,1,1,,1,,,,"2003 03 03, 2004 12 17",2004 01 09,,,
