Eil. Nr.,Leidimo turėtojo duomenys:,,,,Leidimo rūšis,Leidimo Nr.,Leidimo išdavimo data,"Dujų, kurių prekyba leidžiama verstis, pavadinimai ir kodai pagal Kombinuotąją nomenklatūrą (leidimuose verstis didmenine prekyba dujomis)","Prekybos vietų (sandėlių) adresai
(mažmeninės prekybos leidimuose)",Leidimo patikslinimo data,Leidimo papildymo data,Leidimo galiojimo sustabdymo data,Leidimo galiojimo sustabdymo panaikinimo data,Leidimo dublikato išdavimo data,Leidimo galiojimo panaikinimo data (skelbiama ne mažiau kaip 6 mėn.)
,"juridinio asmens – pavadinimas, fizinio asmens – vardas ir pavardė",,juridinio asmens kodas,juridinio asmens buveinė,,,,,,,,,,,
1,Uždaroji akcinė bendrovė „AGA“,uždaroji akcinė bendrovė,110178963,"Vilniaus m. sav., Vilniaus m. , Didlaukio g. 69",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,24M,5/11/2011,,Palemono g. 7,,,,,,
2,AKCINĖ BENDROVĖ „SUSKYSTINTOS DUJOS“,akcinė bendrovė,110856894,"Vilnius, Smolensko g. 1",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,1M,3/31/2007,,"Siūlų g. 5A, Zarasų g. 22A, Kauno miesto savivaldybės teritorija, Kauno miesto savivaldybės teritorija",,,,,,
3,UAB „BALTIC PETROLEUM“,uždaroji akcinė bendrovė,111703588,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,12M,3/31/2007,,"Vaidoto g. 153, H. ir O. Minkovskių g. 132, Raudondvario pl. 82 (įrašytas 2015-07-13)",12/30/2011,7/13/2015,,,,
4,Uždaroji akcinė bendrovė „EMSI“,uždaroji akcinė bendrovė,120643955,"Vilniaus m. sav., Vilniaus m., Savanorių pr. 225",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,34M,4/6/2017,,Liuksemburgo aklg. 27,,,,,,
5,UAB „DUJŲ SPEKTRAS“,uždaroji akcinė bendrovė,125680199,"Kaunas, Raudondvario pl. 162",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,4D,3/31/2007,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, skirtas kitiems tikslams (2711 12 97); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
6,UAB „DUJŲ SPEKTRAS“,uždaroji akcinė bendrovė,125680199,"Raseinių r. sav., Viduklės geležinkelio stotis",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,23M,3/30/2011,,"Kauno miesto savivaldybės teritorija (sandėlis - Viduklės geležinkelio stotyje, Raseinių rajone.) ",,,,,,
7,Uždaroji akcinė bendrovė „Gembė“,uždaroji akcinė bendrovė,133146120,"Kaunas, Kalvarijos g. 9",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,1D,3/31/2007,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, skirtas kitiems tikslams (2711 12 97); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
8,Uždaroji akcinė bendrovė „Gontas“,uždaroji akcinė bendrovė,133424979,"Kauno m. sav., Kauno m., Lakūnų pl. 71",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,26M,7/19/2011,,"Kauno miesto savivaldybės teritorija  (sandėlis - Lakūnų pl. 71, Kaunas) ",,,,,,
9,UAB „GLOBAL PETROLEUM“,uždaroji akcinė bendrovė,134175299,"Kaunas, Pramonės pr. 44",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,14M,4/20/2007,,"Pramonės pr. 44, Veiverių g. 117, Didžioji g. 68, Baltijos g. 90B",,,,,,
10,Uždaroji akcinė bendrovė „Lanx“,uždaroji akcinė bendrovė,134604631,"Kaunas, Partizanų g. 87G",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,9M,3/31/2007,,"Partizanų g. 87G, Baltų pr. 141A",,,,,,
11,Uždaroji akcinė bendrovė „Deguva“,uždaroji akcinė bendrovė,134737329,"Kaunas, Raudondvario pl. 234",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,5M,3/31/2007,,"Kauno miesto savivaldybės teritorija, Kauno miesto savivaldybės teritorija, Veiverių g. 148 (išbrauktas 2015-04-13), Chemijos g. 6 (išbrauktas 2015-04-13), Raudondvario pl. 234, R. Kalantos g. 27 (išbrauktas 2015-04-13), Žemaičių pl. 26",4/13/2015,4/13/2015,,,,
12,Uždaroji akcinė bendrovė „Deguva“,uždaroji akcinė bendrovė,134737329,"Kaunas, Puodžių g. 12-2",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,5D,3/31/2007,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 99 %, skirtas kitiems tikslams (2711 12 94); propanas, skirtas kitiems tikslams (2711 12 97); butanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 95 %, skirtas kitiems tikslams (2711 13 91); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
13,L. Kriaučiūnienės firma „Acetilenas“,individuali įmonė,135013695,"Kaunas, Draugystės g. 19",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,7D,4/27/2007,"propanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 99 %, skirtas kitiems tikslams (2711 12 94); propanas, skirtas kitiems tikslams (2711 12 97); butanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 95 %, skirtas kitiems tikslams (2711 13 91); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
14,Uždaroji akcinė bendrovė „TUBUS“,uždaroji akcinė bendrovė,135570484,"Kaunas, Vandžiogalos g. 86A",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,2M,3/31/2007,,"Vandžiogalos g. 86A, T. Masiulio g. 16A",,,,,,
15,Uždaroji akcinė bendrovė „TUBUS“,uždaroji akcinė bendrovė,135570484,"Kaunas, Vandžiogalos g. 86A",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,2D,3/31/2007,"propanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 99 %, skirtas kitiems tikslams (2711 12 94); propanas, skirtas kitiems tikslams (2711 12 97); butanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 95 %, skirtas kitiems tikslams (2711 13 91); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
16,Uždaroji akcinė bendrovė „Dujovita“,uždaroji akcinė bendrovė,135604958,"Kaunas, Mažoji g. 2A",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,17M,4/20/2007,,"Jonavos g. 110, Islandijos pl. 191D (įrašytas 2017-04-04)",,4/4/2017,,,,
17,UAB „SKULAS“,uždaroji akcinė bendrovė,145316477,"Vilniaus m. sav., Vilniaus m., J. Kazlausko g. 33",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,28M,7/29/2014,,Marvelės g. 106D,,,,,,
18,UAB JUNGTINIS DUJŲ CENTRAS,uždaroji akcinė bendrovė,145633456,"Šiaulių m. sav., Šiaulių m., Tilžės g. 157",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,27M,5/20/2013,,Pramonės pr. 6A,,,,,,
19,Akcinė bendrovė „Achema“,akcinė bendrovė,156667399,"Jonavos r., Jonalaukio k., Ruklos sen.",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,21M,12/7/2009,,Elektrėnų g. 9D,,,,,,
20,Uždaroji akcinė bendrovė „Okseta“,uždaroji akcinė bendrovė,161410513,"Kauno m. sav., Kauno m., Biruliškių g. 18A",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,DL-20,12/9/2014,,,12/7/2016,,,,,
21,Uždaroji akcinė bendrovė „MAKVEŽA“,uždaroji akcinė bendrovė,161621777,"Kėdainių r. sav., Keleriškių k.",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,31M,11/17/2015,,"Raudondvario pl. 205 (sandėlis - Montuotojų g. 8, Mažeikiai) ",,,,,,
22,Uždaroji akcinė bendrovė „Tomega“,uždaroji akcinė bendrovė,166796392,"Mažeikiai, Montuotojų g. 12",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,6M,3/31/2007,,"Panerių g. 222, Betygalos g. 8, Brastos g. 11 (įrašytas 2010-04-23)",,"2010-04-23, 2013-03-18",,,,
23,UAB „Naftos dujos“,uždaroji akcinė bendrovė,166797537,"Mažeikių r. sav., Mažeikių m., Algirdo g. 42",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,36M,5/4/2018,,"Kauno miesto savivaldybės teritorija.  Tel. 8 698  86 560, 8 687  76 076, Kauno g. 38A, Vilkija, Kauno r. sav., tel. 8 698  86 560, 8 687  76 076",,,,,,
24,UŽDAROJI AKCINĖ BENDROVĖ „APSAGA“,uždaroji akcinė bendrovė,175781368,"Šiaulių r. sav., Toliočių k.",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,25M,5/11/2011,,R. Kalantos g. 159 (sandėlis - metalinis konteineris) ,,,7/31/2017,,,
25,Uždaroji akcinė bendrovė „Jozita“,uždaroji akcinė bendrovė,176618114,"Šilalės r. sav., Šolių k., Pietinio Kelio g. 9",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,29M,12/5/2014,,"Kuršių g. 13A, Jonavos g. 51, Jonavos g. 51",,,,,,
26,UAB „Viada LT“,uždaroji akcinė bendrovė,178715423,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,30M,3/26/2015,,"Didžioji g. 84, A. Juozapavičiaus pr. 90 (įrašytas 2015-04-27), Biruliškių g. 18A (įrašytas 2015-04-27), Marijampolės pl. 29 (įrašytas 2015-06-02), Raudondvario pl. 288 (įrašytas 2016-09-13)",9/9/2016,"2015-04-27, 2015-06-02, 2015-09-16, 2016-09-13, 2018-04-10",,,,
27,UAB „Madalva“,uždaroji akcinė bendrovė,179744787,"Tauragė, Pramonės g. 4A",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,15M,4/20/2007,,"Vaišvydo g. 9, Kauno miesto savivaldybės teritorija",,,,,,
28,Uždaroji akcinė bendrovė „Gruinė“,uždaroji akcinė bendrovė,234326460,"Kaunas, Kalvarijos g. 7",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,3D,3/31/2007,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, skirtas kitiems tikslams (2711 12 97); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
29,Uždaroji akcinė bendrovė „Gruinė“,uždaroji akcinė bendrovė,234326460,"Kaunas, Kalvarijos g. 7",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,3M,3/31/2007,,Kauno miesto savivaldybės teritorija,,,,,,
30,Uždaroji akcinė bendrovė „Cauda“,uždaroji akcinė bendrovė,234857660,"Kaunas, Partizanų g. 42A-33",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,7M,3/31/2007,,"Ašigalio g. 20 (išbrauktas 2008-02-15), Marvelės g. (išbrauktas 2008-03-01), Kauno miesto savivaldybės teritorija, R. Kalantos g. 27 (įrašytas 2015-04-14), Žemaičių pl. 26 (įrašytas 2017-02-27)",,"2008-02-15, 2008-03-01, 2015-04-14, 2017-02-27",,,,
31,Uždaroji akcinė bendrovė „Cauda“,uždaroji akcinė bendrovė,234857660,"Kaunas, Partizanų g. 42A-33",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,6D,3/31/2007,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, skirtas kitiems tikslams (2711 12 97); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
32,Uždaroji akcinė bendrovė „Saurida“,uždaroji akcinė bendrovė,266916280,"Mažeikiai, Montuotojų g. 8",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,19M,5/18/2007,,V. Krėvės pr. 116A,,,,,,
33,UAB „SDR dujos“,uždaroji akcinė bendrovė,300603108,"Kaunas, Šiaurės pr. 87-40",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,16M,4/20/2007,,"A. Juozapavičiaus pr. 3C (išbrauktas 2007-09-21), Elektrėnų g. 7B (įrašytas 2007-09-21)",,9/21/2007,,,,
34,UAB „Ekoil“,uždaroji akcinė bendrovė,301541022,"Kaunas, S. Žukausko g. 35-29",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,10D,2/19/2010,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 99 %, skirtas kitiems tikslams (2711 12 94); propanas, skirtas kitiems tikslams (2711 12 97); butanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 95 %, skirtas kitiems tikslams (2711 13 91); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
35,Uždaroji akcinė bendrovė „Acetilenas plius“,uždaroji akcinė bendrovė,302328963,"Kaunas, Technikos g. 14",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,9D,7/15/2009,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 99 %, skirtas kitiems tikslams (2711 12 94); propanas, skirtas kitiems tikslams (2711 12 97); butanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 95 %, skirtas kitiems tikslams (2711 13 91); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
36,UAB „VABALIS“,uždaroji akcinė bendrovė,302831690,"Kauno m. sav., Kauno m., Vytauto pr. 32",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,32M,3/25/2016,,Pramonės pr. 6A,,,,,,
37,UAB „Transkasta“,uždaroji akcinė bendrovė,303201125,"Kauno m. sav., Kauno m., S. Žukausko g. 6-40",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,12D,3/13/2014,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 99 %, skirtas kitiems tikslams (2711 12 94); propanas, skirtas kitiems tikslams (2711 12 97); butanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 95 %, skirtas kitiems tikslams (2711 13 91); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
38,UAB „Gyteksa“,uždaroji akcinė bendrovė,304234904,"Kauno m. sav., Kauno m., Partizanų g. 61-806",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,33M,5/25/2016,,Kuršių g. 1,,,,,,
39,UAB „Gaschema LT“,uždaroji akcinė bendrovė,304434538,"Jonavos r. sav., Jonalaukio k. 3",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,35M,6/16/2017,,Elektrėnų g. 9D,,,,,,
40,Rolandas Krivoščenko,,,,leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,22M,3/14/2011,,"Kauno miesto savivaldybės teritorija (sandėlis - Vaidatinių k., Tauragės rajone.) ",,,,,,